SKU,X,Y,Z,Length,Width,Height,Rotated
704027,0,0,0,290,172,286,False
704025,290,0,0,290,170,286,False
704028,580,0,0,294,170,284,False
769853,0,172,0,294,172,280,False
754230,0,344,0,494,236,266,False
769790,0,580,0,326,316,266,False
704965,0,0,286,438,332,222,False
752922,874,0,0,236,130,218,False
790145,0,332,286,600,392,212,False
783060,326,580,0,306,254,206,False
700309,494,344,0,386,194,206,False
766369,632,580,0,260,240,206,False
719620,892,580,0,286,214,206,False
736961,0,344,266,394,194,204,False
747090,438,0,286,500,308,200,False
768211,600,332,286,500,304,198,False
714699,294,172,0,280,148,196,False
714798,574,172,0,278,148,196,False
718245,0,580,266,288,284,194,False
700202,326,580,206,294,220,192,False
704584,938,0,286,206,306,192,True
714006,852,172,0,202,136,192,False
704945,0,724,286,370,230,188,False
723017,0,332,498,574,256,186,False
740752,600,332,484,350,254,184,False
716728,880,344,0,206,194,180,False
708183,494,344,206,304,132,178,False
703673,370,724,286,302,128,178,False
722260,438,0,486,400,208,176,False
708278,0,344,470,300,134,176,False
708176,494,344,384,304,132,174,False
746557,294,172,196,256,148,172,False
744565,0,0,684,372,336,168,False
708567,0,0,508,358,260,168,False
789728,372,0,684,438,182,166,False
752230,0,332,684,434,190,162,False
783128,0,336,684,442,186,162,False
765033,0,522,684,368,274,154,False
794864,368,522,684,442,242,152,False
737725,0,0,676,352,260,152,False
783268,0,0,852,374,278,150,False
705218,0,0,828,348,260,150,False
731408,892,580,206,280,210,148,False
761205,0,724,474,342,230,144,False
763552,938,0,478,176,302,144,True
792221,632,580,206,244,152,142,False
728167,600,332,668,330,244,132,False
749022,810,522,684,326,242,132,False
750419,438,0,662,396,196,130,False
715845,0,278,852,410,314,128,False
723030,600,332,800,330,244,126,False
726985,0,522,838,324,248,124,False
771903,0,0,852,352,260,122,False
784919,374,0,852,346,258,122,False
709555,0,172,280,284,134,120,False
729919,410,278,852,352,262,118,False
729921,762,278,852,354,260,118,False
764825,0,724,618,310,230,118,False
784992,0,724,736,306,226,118,False
704076,0,592,852,462,308,116,False
751518,462,592,852,462,304,116,False
737988,0,592,968,350,262,116,False
738985,462,592,968,350,262,116,False
794918,410,278,970,350,260,116,False
705450,762,278,970,348,260,116,False
767734,810,522,816,310,230,116,False
733302,368,522,836,308,230,116,False
735863,720,0,852,310,228,116,False
733145,600,332,926,306,230,116,False
744954,810,522,932,308,228,116,False
733147,924,592,852,228,302,116,True
790275,0,0,974,352,260,114,False
739044,0,278,980,350,258,114,False
724280,0,522,962,314,232,114,False
724280,374,0,974,314,232,114,False
724284,0,0,978,312,232,114,False
740757,0,0,1002,308,232,114,False
724311,0,522,1076,310,230,114,False
712912,0,0,1190,354,260,112,False
723620,0,260,1190,354,264,110,False
726439,0,0,1088,352,260,110,False
760779,0,592,1084,348,262,98,False
787729,354,0,1190,352,260,88,False
731999,892,580,354,278,208,86,False
761198,326,580,398,282,206,84,False
762125,892,580,440,274,204,84,False
704053,0,524,1190,370,276,72,False
703269,706,0,1190,386,254,68,False
746322,354,260,1190,352,260,68,False
714512,462,592,1084,350,258,66,False

ExecutionTime,0,020 seconds
FillRate,70,83%
