SKU,X,Y,Z,Len,Wid,Hgt,Rot
780141,0,0,0,350,600,220,True
792545,350,0,0,230,540,90,True
708781,580,0,0,220,440,90,True
766161,800,0,0,360,270,70,False
763540,0,600,0,210,400,190,True
708183,210,600,0,140,310,180,True
708186,350,600,0,190,400,180,True
703896,540,600,0,250,390,150,True
739240,790,600,0,410,260,150,False
748873,790,860,0,260,120,150,False
603419,350,0,90,230,320,120,True
736672,580,0,90,310,470,120,True
705699,890,0,90,310,460,120,True
770210,0,0,220,350,270,140,False
704962,350,0,220,340,520,210,True
747086,690,0,220,510,210,200,False
781504,690,210,220,460,310,130,False
749084,0,270,220,250,330,140,True
759709,0,600,220,350,270,120,False
704801,350,600,220,200,390,210,True
765046,550,600,220,280,380,160,True
785571,830,600,220,370,270,110,False
704956,0,600,340,290,270,210,False
752922,0,870,340,240,130,220,False
704963,0,0,360,290,270,210,False
704796,0,270,360,240,330,170,True
788710,350,0,430,340,490,170,True
747081,690,0,430,500,310,210,False
747075,690,310,430,500,200,210,False
753284,350,600,430,200,380,210,True
733660,550,600,430,290,370,180,True
737239,840,600,430,360,260,160,False
761211,0,270,530,240,310,230,True
704027,0,600,550,290,180,290,False
728133,0,870,560,230,130,220,False
704049,0,0,570,290,180,290,False
795469,350,0,600,340,480,170,True
718245,550,600,610,290,290,200,False
704945,840,600,610,230,370,190,True
731574,690,0,640,500,250,200,False
794221,690,310,640,410,210,180,False
770973,350,600,640,180,340,170,True
761221,0,270,760,240,310,230,True
717541,350,0,770,340,260,140,False
713413,350,260,770,290,220,80,False
761235,840,600,800,230,310,230,True
708680,350,600,810,180,300,290,True
733724,550,600,810,290,230,140,False
704890,690,310,820,410,200,200,False
700859,690,0,840,340,250,110,False
767725,0,600,840,260,180,120,False
743756,0,0,860,290,140,120,False
769803,350,0,910,320,260,210,False
718199,350,260,910,320,210,200,False
765942,690,0,950,330,250,110,False
790769,1030,0,950,150,250,200,True
748547,550,600,950,290,140,120,False
758529,0,600,960,260,150,180,False
794621,0,0,980,250,140,210,False
765705,0,270,990,240,310,230,True
762671,690,310,1020,280,190,380,False
708212,840,600,1030,210,310,200,True
740797,690,0,1060,330,240,170,False
731023,350,600,1100,180,260,100,True
748207,350,260,1110,310,210,200,False
796664,350,0,1120,310,260,210,False
720138,0,600,1140,210,150,150,False
739731,350,600,1200,180,250,90,True
768175,0,270,1220,230,310,160,True
749047,690,0,1230,330,240,130,False
780089,840,600,1230,180,310,170,True
780145,350,260,1310,310,170,170,False
751224,350,0,1330,310,260,200,False
603417,690,0,1360,310,240,130,False
710301,0,270,1380,230,310,120,True
754462,690,310,1400,280,150,200,False
763560,840,600,1400,180,310,150,True
708198,350,260,1480,310,140,180,False
723041,690,0,1490,310,240,120,False
733148,0,270,1500,230,310,120,True
734951,350,0,1530,310,230,120,False
737449,840,600,1550,140,310,180,True
734957,690,0,1610,310,230,120,False
734994,0,270,1620,230,310,120,True
734996,350,0,1650,310,230,120,False
739367,690,0,1730,310,230,120,False
758634,0,270,1740,230,310,120,True
760674,350,0,1770,310,230,120,False
770673,690,0,1850,310,230,120,False
774964,0,270,1860,230,310,120,True
791324,350,0,1890,310,230,120,False
761903,690,0,1970,280,210,110,False
783772,0,270,1980,210,280,110,True
717883,350,0,2010,280,210,90,False
731999,690,0,2080,280,210,90,False
761240,0,270,2090,210,280,90,True
771323,350,0,2100,260,190,130,False

Execution,0.003s
Fill,45.92%
