SKU,X,Y,Z,Length,Width,Height,Rotated
790145,10,10,0,600,400,220,False
780134,10,410,0,600,350,210,False
704859,610,10,0,460,280,290,False
723015,610,410,0,500,390,190,False
755655,10,760,0,510,240,200,False
747075,610,800,0,500,200,210,False
752922,1070,10,0,130,240,220,True
708129,20,20,290,460,320,250,False
780136,480,20,290,600,290,210,False
790142,20,340,290,600,280,210,False
789812,620,340,290,410,260,300,False
747083,20,620,290,510,310,200,False
789737,620,600,290,410,250,290,False
760191,1030,340,290,170,300,290,True
704025,1030,640,290,170,290,290,True
708198,620,850,290,310,140,180,False
793592,30,30,590,460,400,170,False
747090,490,30,590,500,310,200,False
788710,30,430,590,490,340,170,False
700381,520,430,590,310,250,340,False
704948,830,430,590,310,250,340,False
789777,520,680,590,310,250,240,False
748979,830,680,590,310,240,240,False
728771,30,770,590,300,200,290,False
704805,990,30,590,200,400,210,True
761880,330,770,590,190,220,180,True
718889,40,40,930,450,260,220,False
752324,40,300,930,410,270,230,False
731574,490,40,930,500,250,200,False
763599,450,300,930,500,270,150,False
789285,40,570,930,370,260,210,False
712316,950,300,930,190,550,180,True
766377,450,570,930,460,310,130,False
707564,40,830,930,320,170,250,False
741175,990,40,930,190,250,220,True
756966,50,50,1180,320,240,230,False
736672,50,290,1180,470,310,120,False
601571,520,290,1180,470,310,120,False
783589,50,600,1180,420,320,130,False
774750,370,50,1180,450,240,160,False
600595,520,600,1180,460,310,120,False
761211,820,50,1180,310,240,230,False
736961,990,290,1180,200,400,210,True
751132,990,690,1180,190,300,290,True
798375,60,60,1470,460,310,120,False
739512,520,60,1470,460,310,120,False
765031,60,370,1470,380,280,160,False
799529,440,370,1470,320,230,230,False
764816,760,370,1470,420,310,130,False
733842,60,650,1470,380,230,190,False
722549,760,680,1470,360,270,170,False
722224,440,600,1470,300,260,210,False
704027,980,60,1470,180,290,290,True
772297,440,860,1470,210,140,200,False
723510,70,70,1760,370,220,200,False
704945,70,290,1760,370,230,190,False
759782,440,290,1760,320,250,200,False
763598,760,290,1760,380,280,150,False
754766,70,520,1760,290,270,200,False
769853,440,70,1760,300,180,280,False
739232,440,540,1760,260,410,140,True
737119,760,570,1760,360,270,150,False
771405,740,70,1760,440,190,160,False
733703,70,790,1760,240,180,180,False
731308,760,840,1760,250,160,150,False
737255,80,80,2040,360,270,150,False
738769,80,350,2040,440,330,100,False
789416,520,350,2040,400,300,120,False
762546,80,680,2040,420,310,110,False
737721,440,80,2040,360,260,150,False
791122,520,650,2040,320,240,180,False
737267,800,80,2040,350,260,150,False
799888,920,350,2040,260,250,210,False
799963,920,600,2040,260,250,210,False
740715,90,90,2250,420,290,110,False
703307,510,90,2250,390,190,180,False
746430,90,380,2250,350,270,140,False
724690,440,380,2250,310,210,200,False
739135,750,380,2250,420,280,110,False
757265,750,660,2250,420,280,110,False
701616,90,650,2250,330,240,160,False
762068,440,590,2250,250,330,150,True
714146,900,90,2250,300,230,140,False
795918,100,100,2450,380,200,150,False
735873,100,300,2450,350,270,120,False
790275,450,300,2450,360,260,120,False
716817,480,100,2450,400,200,140,False
762575,810,300,2450,230,540,90,True
705451,100,570,2450,350,260,120,False
705459,450,560,2450,350,260,120,False
770973,450,820,2450,340,180,170,False
763559,880,100,2450,300,180,150,False
723620,110,110,2620,360,270,110,False
762765,110,380,2620,420,280,90,False
774093,470,110,2620,410,210,120,False
723553,530,380,2620,330,240,130,False
764630,110,660,2620,360,260,110,False
772900,860,380,2620,340,260,110,False
765944,860,640,2620,340,260,110,False
765943,530,620,2620,260,340,110,True
762924,880,110,2620,310,230,130,False
765974,120,120,2750,330,260,110,False
770952,450,120,2750,330,260,110,False
737519,120,380,2750,330,260,110,False
769412,450,380,2750,420,280,80,False
724280,780,120,2750,320,240,120,False
703342,120,640,2750,290,220,140,False
740713,870,380,2750,310,240,120,False
767590,450,660,2750,310,240,120,False
747258,870,620,2750,310,240,120,False
703334,130,130,2890,310,240,120,False
719078,440,130,2890,440,220,90,False
790202,130,370,2890,310,230,120,False
753143,880,130,2890,310,230,120,False
767742,440,370,2890,310,230,120,False
767727,130,600,2890,310,230,120,False
718855,750,370,2890,310,230,120,False
761275,440,600,2890,310,230,120,False
767728,750,600,2890,310,230,120,False
714643,140,140,3010,310,230,120,False
733301,450,140,3010,310,230,120,False
770673,140,370,3010,310,230,120,False
792125,760,140,3010,310,230,120,False
734994,450,370,3010,310,230,120,False
760788,140,600,3010,310,230,120,False
771117,760,370,3010,310,230,120,False
722878,450,600,3010,310,230,120,False
741251,760,600,3010,310,230,120,False
703338,150,150,3130,310,230,120,False
729650,460,150,3130,310,230,120,False
787729,150,380,3130,360,260,90,False
788720,510,380,3130,360,260,90,False
704054,870,380,3130,280,370,80,True
761256,150,640,3130,330,250,100,False
782723,510,640,3130,350,260,90,False
739197,770,150,3130,260,220,140,False
717582,870,750,3130,250,200,150,False
704097,160,160,3280,370,280,80,False
712748,530,160,3280,340,230,90,False
766166,160,440,3280,350,280,70,False
794348,870,160,3280,290,210,110,False
740727,510,440,3280,290,210,110,False
774727,160,720,3280,260,190,130,False
713855,800,440,3280,280,210,90,False
787240,510,650,3280,290,210,80,False

ExecutionTime,0.002 seconds
FillRate,51.70%
