PalletId,68
Address,B
ExecutionTime,2.065 seconds

SKU,X,Y,Z,Length,Width,Height,Rotated
767885,0,0,0,550,350,200,False
747080,550,0,0,550,350,200,False
747080,550,350,0,550,350,200,False
799901,0,350,0,550,350,200,False
747953,550,700,0,550,300,200,False
704757,0,700,0,550,300,200,False
747090,0,0,200,500,350,200,False
747084,500,0,200,500,350,200,False
747090,500,350,200,500,350,200,False
713677,0,350,200,500,350,200,False
765091,500,700,200,500,300,200,False
765091,0,700,200,500,300,200,False
783128,1000,0,200,200,450,200,True
708189,1000,450,200,200,450,200,True
785841,0,0,400,500,250,250,False
785841,500,0,400,500,250,250,False
785841,500,250,400,500,250,250,False
785841,500,500,400,500,250,250,False
785841,500,750,400,500,250,250,False
785841,0,250,400,500,250,250,False
708118,0,500,400,500,250,250,False
708118,0,750,400,500,250,250,False
736751,1000,0,400,200,450,250,True
769728,1000,450,400,200,450,250,True
782357,0,0,650,350,300,250,False
796664,350,0,650,350,300,250,False
600591,700,0,650,500,350,150,False
600594,700,350,650,500,350,150,False
600595,350,300,650,350,500,150,True
601571,0,300,650,350,500,150,True
733576,700,700,650,350,300,250,False
775859,350,800,650,350,200,200,False
780148,0,800,650,350,200,200,False
727952,1050,700,650,150,250,250,True
732529,0,0,900,450,350,150,False
740973,450,0,900,450,350,150,False
740973,450,350,900,450,350,150,False
740975,0,350,900,450,350,150,False
700472,450,700,900,400,300,150,False
765852,0,700,900,400,300,150,False
771942,900,0,900,300,400,150,True
765852,900,400,900,300,400,150,True
788268,900,800,900,300,200,150,False
756966,0,0,1050,350,250,250,False
761024,350,0,1050,350,250,250,False
765686,700,0,1050,350,250,250,False
761211,700,250,1050,350,250,250,False
785635,700,500,1050,350,250,250,False
700404,700,750,1050,350,250,250,False
748979,350,250,1050,350,250,250,False
789777,350,500,1050,350,250,250,False
769670,350,750,1050,350,250,250,False
700401,0,250,1050,350,250,250,False
704010,0,500,1050,350,250,250,False
761023,0,750,1050,350,250,250,False
708262,1050,0,1050,150,350,200,True
708262,1050,350,1050,150,350,200,True
700267,1050,700,1050,150,300,200,True
764568,0,0,1300,350,250,200,False
768200,350,0,1300,350,250,200,False
771039,700,0,1300,350,250,200,False
700831,700,250,1300,350,250,200,False
718208,700,500,1300,350,250,200,False
737101,350,250,1300,350,500,100,True
738197,700,750,1300,350,250,200,False
748207,350,750,1300,350,250,200,False
758123,0,250,1300,350,250,200,False
704579,0,500,1300,350,250,200,False
704580,0,750,1300,350,250,200,False
708183,1050,0,1300,150,350,200,True
708184,1050,350,1300,150,350,200,True
754462,1050,700,1300,150,300,200,True
778725,0,0,1500,450,350,100,False
738769,450,0,1500,450,350,100,False
708994,450,350,1500,450,350,100,False
778725,0,350,1500,450,350,100,False
771636,900,0,1500,250,550,100,True
705471,450,700,1500,450,300,100,False
700125,0,700,1500,450,300,100,False
746461,900,550,1500,250,450,100,True
769412,0,0,1600,450,300,100,False
769412,450,0,1600,450,300,100,False
700125,450,300,1600,450,300,100,False
761788,450,600,1600,450,300,100,False
705471,0,300,1600,450,300,100,False
769412,0,600,1600,450,300,100,False
700125,900,0,1600,300,450,100,True
761788,900,450,1600,300,450,100,True
749062,0,0,1700,350,250,150,False
761022,350,0,1700,350,250,150,False
761191,700,0,1700,350,250,150,False
765259,700,250,1700,350,250,150,False
765941,700,500,1700,350,250,150,False
765942,700,750,1700,350,250,150,False
765975,350,250,1700,350,250,150,False
767727,350,500,1700,350,250,150,False
767734,350,750,1700,350,250,150,False
767737,0,250,1700,350,250,150,False
767741,0,500,1700,350,250,150,False
768957,0,750,1700,350,250,150,False
769927,0,0,1850,300,200,200,False
702241,300,0,1850,400,300,100,False
703269,700,0,1850,400,300,100,False
704055,700,300,1850,400,300,100,False
715687,700,600,1850,400,300,100,False
748724,300,300,1850,400,300,100,False
779160,300,600,1850,400,300,100,False
783267,0,200,1850,300,400,100,True
784239,0,600,1850,200,400,150,True

FillRate,87.44%
