PalletId,307
Address,C
ExecutionTime,4.504 seconds

SKU,X,Y,Z,Length,Width,Height,Rotated
708129,0,0,0,500,350,250,False
747081,500,0,0,500,350,250,False
708129,500,350,0,500,350,250,False
747081,0,350,0,500,350,250,False
747688,500,700,0,500,300,250,False
747854,0,700,0,500,300,250,False
747075,1000,0,0,200,500,250,True
747075,1000,500,0,200,500,250,True
704768,0,0,250,450,300,250,False
704768,450,0,250,450,300,250,False
704768,450,300,250,450,300,250,False
704768,450,600,250,450,300,250,False
704768,0,300,250,450,300,250,False
704768,0,600,250,450,300,250,False
764501,900,0,250,300,450,250,True
764501,900,450,250,300,450,250,True
745004,0,0,500,400,250,300,False
721355,400,0,500,400,300,250,False
703205,800,0,500,400,300,250,False
703205,800,300,500,400,300,250,False
721355,800,600,500,400,300,250,False
765858,400,300,500,400,300,250,False
721355,400,600,500,400,300,250,False
765858,0,250,500,400,300,250,False
703205,0,550,500,400,300,250,False
755960,0,850,500,400,150,200,False
769681,0,0,800,400,250,250,False
708130,400,0,800,400,250,250,False
744076,800,0,800,400,250,250,False
727593,800,250,800,400,250,250,False
727593,800,500,800,400,250,250,False
708130,800,750,800,400,250,250,False
765046,400,250,800,400,300,200,False
705026,400,550,800,400,300,200,False
705047,0,250,800,400,300,200,False
705047,0,550,800,400,300,200,False
755960,400,850,800,400,150,200,False
755960,0,850,800,400,150,200,False
761271,0,0,1050,350,250,250,False
761661,350,0,1050,350,250,250,False
761661,700,0,1050,350,250,250,False
761661,700,250,1050,350,250,250,False
761661,700,500,1050,350,250,250,False
761661,700,750,1050,350,250,250,False
761661,350,250,1050,350,250,250,False
761661,350,500,1050,350,250,250,False
761661,350,750,1050,350,250,250,False
762075,0,250,1050,350,250,250,False
762075,0,500,1050,350,250,250,False
762075,0,750,1050,350,250,250,False
751425,1050,0,1050,150,400,200,True
736816,1050,400,1050,150,400,200,True
781289,0,0,1300,400,300,150,False
781909,400,0,1300,400,300,150,False
788619,800,0,1300,400,300,150,False
790275,800,300,1300,400,300,150,False
716924,800,600,1300,400,300,150,False
723622,400,300,1300,400,300,150,False
739000,400,600,1300,400,300,150,False
764630,0,300,1300,400,300,150,False
779171,0,600,1300,400,300,150,False
708186,0,0,1450,400,200,200,False
708186,400,0,1450,400,200,200,False
708186,800,0,1450,400,200,200,False
739991,800,200,1450,400,200,200,False
739991,800,400,1450,400,200,200,False
739991,800,600,1450,400,200,200,False
739991,800,800,1450,400,200,200,False
708186,400,200,1450,400,200,200,False
703307,400,400,1450,400,200,200,False
708188,400,600,1450,400,200,200,False
703307,400,800,1450,400,200,200,False
708186,0,200,1450,400,200,200,False
708186,0,400,1450,400,200,200,False
708186,0,600,1450,400,200,200,False
708186,0,800,1450,400,200,200,False
769412,0,0,1650,450,300,100,False
774621,450,0,1650,450,300,100,False
762765,450,300,1650,450,300,100,False
761788,450,600,1650,450,300,100,False
769412,0,300,1650,450,300,100,False
705471,0,600,1650,450,300,100,False
761788,900,0,1650,300,450,100,True
769412,900,450,1650,300,450,100,True
731325,0,0,1750,350,250,150,False
731432,350,0,1750,350,250,150,False
733148,700,0,1750,350,250,150,False
733384,700,250,1750,350,250,150,False
734588,700,500,1750,350,250,150,False
734951,700,750,1750,350,250,150,False
734957,350,250,1750,350,250,150,False
735863,350,500,1750,350,250,150,False
736854,350,750,1750,350,250,150,False
737218,0,250,1750,350,250,150,False
739366,0,500,1750,350,250,150,False
740716,0,750,1750,350,250,150,False
777562,0,0,1900,300,200,200,False
741174,300,0,1900,300,200,200,False
741181,600,0,1900,300,200,200,False
777562,900,0,1900,300,200,200,False
766168,900,200,1900,300,400,100,True
766270,900,600,1900,300,400,100,True
769927,600,200,1900,300,200,200,False
704256,600,400,1900,300,400,100,True
755253,600,800,1900,300,200,200,False
759662,300,200,1900,300,400,100,True
779160,300,600,1900,300,400,100,True
786735,0,200,1900,300,400,100,True
717852,0,600,1900,300,400,100,True

FillRate,88.57%
