PalletId,387
Address,A
ExecutionTime,0.544 seconds

SKU,X,Y,Z,Length,Width,Height,Rotated
789812,0,0,0,450,300,300,False
793270,450,0,0,450,300,300,False
723015,450,300,0,400,500,200,True
793592,0,300,0,400,500,200,True
764227,900,0,0,250,500,300,True
754230,900,500,0,250,500,300,True
745029,450,800,0,400,200,300,False
745717,0,800,0,350,200,300,False
722822,0,0,300,450,300,250,False
722822,450,0,300,450,300,250,False
722822,450,300,300,450,300,250,False
722822,450,600,300,450,300,250,False
722822,0,300,300,450,300,250,False
722822,0,600,300,450,300,250,False
722822,900,0,300,300,450,250,True
722822,900,450,300,300,450,250,True
704076,0,0,550,500,350,150,False
736672,500,0,550,500,350,150,False
746037,500,350,550,500,350,150,False
751518,0,350,550,500,350,150,False
799564,500,700,550,450,300,150,False
740709,0,700,550,450,300,150,False
747087,1000,0,550,200,450,150,True
747087,1000,450,550,200,450,150,True
769015,0,0,700,350,300,250,False
794798,350,0,700,350,300,250,False
601032,700,0,700,500,350,150,False
601571,700,350,700,500,350,150,False
705055,700,700,700,350,300,250,False
705474,350,300,700,350,300,250,False
733576,350,600,700,350,300,250,False
739512,0,300,700,350,500,150,True
707902,0,800,700,350,200,200,False
764075,1050,700,700,150,250,250,True
741367,0,0,950,450,350,150,False
783589,450,0,950,450,350,150,False
761057,450,350,950,450,350,150,False
761780,0,350,950,450,350,150,False
740570,450,700,950,400,300,150,False
740582,0,700,950,400,300,150,False
779171,900,0,950,300,400,150,True
785149,900,400,950,300,400,150,True
715384,900,800,950,300,200,150,False
705039,0,0,1100,400,250,200,False
723510,400,0,1100,400,250,200,False
723510,800,0,1100,400,250,200,False
765043,800,250,1100,400,250,200,False
733842,800,500,1100,400,250,200,False
758729,800,750,1100,400,250,200,False
765043,400,250,1100,400,250,200,False
704945,400,500,1100,400,250,200,False
704945,400,750,1100,400,250,200,False
704945,0,250,1100,400,250,200,False
705039,0,500,1100,400,250,200,False
706155,0,750,1100,400,250,200,False
705160,0,0,1300,350,250,200,False
732886,350,0,1300,350,250,200,False
733179,700,0,1300,350,250,200,False
778781,700,250,1300,350,250,200,False
705153,700,500,1300,350,250,200,False
733179,700,750,1300,350,250,200,False
733729,350,250,1300,350,250,200,False
740751,350,500,1300,350,250,200,False
740753,350,750,1300,350,250,200,False
778781,0,250,1300,350,250,200,False
759782,0,500,1300,350,250,200,False
764568,0,750,1300,350,250,200,False
708198,1050,0,1300,150,350,200,True
703673,1050,350,1300,150,350,200,True
700267,1050,700,1300,150,300,200,True
770210,0,0,1500,350,300,150,False
724354,350,0,1500,350,300,150,False
735865,700,0,1500,350,300,150,False
738995,700,300,1500,350,300,150,False
761450,700,600,1500,350,300,150,False
765943,350,300,1500,350,300,150,False
780785,350,600,1500,350,300,150,False
794918,0,300,1500,350,300,150,False
791935,0,600,1500,350,300,150,False
723018,1050,0,1500,150,250,150,True
797724,1050,250,1500,150,250,150,True
720141,1050,500,1500,150,250,150,True
797724,1050,750,1500,150,250,150,True
736854,0,0,1650,350,250,150,False
749066,350,0,1650,350,250,150,False
752325,700,0,1650,350,250,150,False
764827,700,250,1650,350,250,150,False
767734,700,500,1650,350,250,150,False
767735,700,750,1650,350,250,150,False
767742,350,250,1650,350,250,150,False
783372,350,500,1650,350,250,150,False
603419,350,750,1650,350,250,150,False
703338,0,250,1650,350,250,150,False
705151,0,500,1650,350,250,150,False
724280,0,750,1650,350,250,150,False
761233,0,0,1800,350,250,150,False
764825,350,0,1800,350,250,150,False
767728,700,0,1800,350,250,150,False
767737,700,250,1800,350,250,150,False
767741,700,500,1800,350,250,150,False
769721,700,750,1800,350,250,150,False
771117,350,250,1800,350,250,150,False
785166,350,500,1800,350,250,150,False
700859,350,750,1800,350,250,150,False
710301,0,250,1800,350,250,150,False
710582,0,500,1800,350,250,150,False
733145,0,750,1800,350,250,150,False
746241,0,0,1950,350,300,100,False
766166,350,0,1950,350,300,100,False
782723,700,0,1950,350,300,100,False
733318,700,300,1950,350,250,100,False
734965,700,550,1950,350,250,100,False
761256,350,300,1950,350,250,100,False
761650,350,550,1950,350,250,100,False
733309,0,300,1950,350,250,100,False
761650,0,550,1950,350,250,100,False
746264,700,800,1950,300,200,100,False
735619,350,800,1950,300,200,100,False
746264,0,800,1950,300,200,100,False

FillRate,89.17%
